date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:48:27	52096/52096	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Mar%202021%2002:55:36%20GMT	https://ar-coder.com/sites/medhealth/home.html	C:/Users/pc/Desktop/Figma/hackthon/Health%20care%20%20hackthaon%20project/ar-coder.com/sites/medhealth/home.html	(from )
12:48:27	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Apr%202023%2007:18:30%20GMT	https://ar-coder.com/robots.txt		(from )
12:48:28	56842/56842	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Nov%202019%2008:40:46%20GMT	https://ar-coder.com/sites/medhealth/assets/fonts/fontawesome/css/all.min.css	C:/Users/pc/Desktop/Figma/hackthon/Health%20care%20%20hackthaon%20project/ar-coder.com/sites/medhealth/assets/fonts/fontawesome/css/all.min.css	(from https://ar-coder.com/sites/medhealth/home.html)
12:48:28	3782/3782	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Apr%202020%2014:11:58%20GMT	https://ar-coder.com/sites/medhealth/assets/fonts/flaticon/css/flaticon.css	C:/Users/pc/Desktop/Figma/hackthon/Health%20care%20%20hackthaon%20project/ar-coder.com/sites/medhealth/assets/fonts/flaticon/css/flaticon.css	(from https://ar-coder.com/sites/medhealth/home.html)
12:48:29	155758/155758	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Feb%202019%2004:47:50%20GMT	https://ar-coder.com/sites/medhealth/assets/css/bootstrap.min.css	C:/Users/pc/Desktop/Figma/hackthon/Health%20care%20%20hackthaon%20project/ar-coder.com/sites/medhealth/assets/css/bootstrap.min.css	(from https://ar-coder.com/sites/medhealth/home.html)
12:48:30	77907/77907	---M-Z	200	added ('OK')	text/css	date:Thu,%2026%20Mar%202020%2010:01:10%20GMT	https://ar-coder.com/sites/medhealth/assets/css/animate.css	C:/Users/pc/Desktop/Figma/hackthon/Health%20care%20%20hackthaon%20project/ar-coder.com/sites/medhealth/assets/css/animate.css	(from https://ar-coder.com/sites/medhealth/home.html)
12:48:30	3383/3383	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2002:08:32%20GMT	https://ar-coder.com/sites/medhealth/assets/css/lity.min.css	C:/Users/pc/Desktop/Figma/hackthon/Health%20care%20%20hackthaon%20project/ar-coder.com/sites/medhealth/assets/css/lity.min.css	(from https://ar-coder.com/sites/medhealth/home.html)
12:48:30	3351/3351	---M-Z	200	added ('OK')	text/css	date:Thu,%2026%20Mar%202020%2009:59:44%20GMT	https://ar-coder.com/sites/medhealth/assets/css/owl.carousel.min.css	C:/Users/pc/Desktop/Figma/hackthon/Health%20care%20%20hackthaon%20project/ar-coder.com/sites/medhealth/assets/css/owl.carousel.min.css	(from https://ar-coder.com/sites/medhealth/home.html)
12:48:31	1380/1380	---M-Z	200	added ('OK')	text/css	date:Thu,%2026%20Mar%202020%2009:59:52%20GMT	https://ar-coder.com/sites/medhealth/assets/css/owl.theme.default.css	C:/Users/pc/Desktop/Figma/hackthon/Health%20care%20%20hackthaon%20project/ar-coder.com/sites/medhealth/assets/css/owl.theme.default.css	(from https://ar-coder.com/sites/medhealth/home.html)
12:48:31	65029/65029	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Mar%202021%2002:52:30%20GMT	https://ar-coder.com/sites/medhealth/assets/css/style.css	C:/Users/pc/Desktop/Figma/hackthon/Health%20care%20%20hackthaon%20project/ar-coder.com/sites/medhealth/assets/css/style.css	(from https://ar-coder.com/sites/medhealth/home.html)
